Abastecimento de água - Brasil,,
Moradores por Município e Ano,,
Período:1991,2000,2010
"Município;""1991"";""2000"";""2010""",,
211085 São Francisco do Brejão;-;7056;10221,,
211090 São Francisco do Maranhão;12906;12818;12134,,
211100 São João Batista;20394;18871;19892,,
211102 São João do Carú;-;12967;12244,,
211105 São João do Paraíso;-;10245;10790,,
211107 São João do Soter;-;14730;17214,,
211110 São João dos Patos;25466;23080;24834,,
211120 São José de Ribamar;70480;106634;162616,,
211125 São José dos Basílios;-;7323;7462,,
211130 São Luís;692440;866083;1005558,,
211140 São Luís Gonzaga do Maranhão;26029;22670;20134,,
211150 São Mateus do Maranhão;31008;34731;39026,,
211153 São Pedro da Água Branca;-;10908;12012,,
211157 São Pedro dos Crentes;-;4015;4386,,
211160 São Raimundo das Mangabeiras;14133;14792;17413,,
211163 São Raimundo do Doca Bezerra;-;6513;6078,,
211167 São Roberto;-;4326;5946,,
211170 São Vicente Ferrer;18458;18357;20796,,
211172 Satubinha;-;10701;11929,,
211174 Senador Alexandre Costa;-;8536;10240,,
211176 Senador La Rocque;-;16178;17796,,
211178 Serrano do Maranhão;-;9099;10924,,
211180 Sítio Novo;13609;15076;16945,,
211190 Sucupira do Norte;10405;10374;10434,,
211195 Sucupira do Riachão;-;4273;4606,,
211200 Tasso Fragoso;6176;6339;7757,,
211210 Timbiras;22936;26257;27967,,
211220 Timon;107106;129454;155073,,
211223 Trizidela do Vale;-;16295;18907,,
211227 Tufilândia;-;5526;5594,,
211230 Tuntum;35802;35323;39129,,
211240 Turiaçu;39515;31214;33789,,
211245 Turilândia;-;17191;22775,,
211250 Tutóia;43070;37246;52600,,
211260 Urbano Santos;23367;17379;24527,,
211270 Vargem Grande;32863;34566;49275,,
211280 Viana;42077;43794;49228,,
211285 Vila Nova dos Martírios;-;6691;11214,,
211290 Vitória do Mearim;50093;29813;31107,,
211300 Vitorino Freire;30829;27253;31591,,
211400 Zé Doca;57819;45836;50008,,
220005 Acauã;-;5143;6748,,
220010 Agricolândia;5711;5322;5089,,
220020 Água Branca;16185;14491;16427,,
220025 Alagoinha do Piauí;8068;6854;7339,,
220027 Alegrete do Piauí;-;4706;5141,,
220030 Alto Longá;15575;11948;13616,,
220040 Altos;38656;38838;38717,,
220045 Alvorada do Gurguéia;-;4169;5037,,
220050 Amarante;16445;16845;17072,,
220060 Angical do Piauí;6124;6765;6665,,
220070 Anísio de Abreu;10355;7136;9083,,
220080 Antônio Almeida;4893;2838;3032,,
220090 Aroazes;8914;6010;5773,,
220095 Aroeiras do Itaim;-;-;2440,,
220100 Arraial;5472;4903;4688,,
220105 Assunção do Piauí;-;6905;7500,,
220110 Avelino Lopes;11954;9572;11052,,
220115 Baixa Grande do Ribeiro;-;7755;10469,,
220117 Barra D'Alcântara;-;4106;3844,,
220120 Barras;50030;40781;44684,,
220130 Barreiras do Piauí;4049;3056;3232,,
220140 Barro Duro;8413;6771;6583,,
220150 Batalha;22314;24076;25728,,
220155 Bela Vista do Piauí;-;2963;3771,,
220157 Belém do Piauí;-;2428;3284,,
220160 Beneditinos;12484;9702;9888,,
220170 Bertolínia;8713;5083;5294,,
220173 Betânia do Piauí;-;8608;6009,,
220177 Boa Hora;-;5075;6279,,
220180 Bocaina;3890;4194;4356,,
220190 Bom Jesus;18033;15712;22446,,
220191 Bom Princípio do Piauí;-;4625;5287,,
220192 Bonfim do Piauí;-;4868;5388,,
220194 Boqueirão do Piauí;-;5545;6173,,
220196 Brasileira;-;7351;7933,,
220198 Brejo do Piauí;-;3983;3847,,
220200 Buriti dos Lopes;30948;18494;18963,,
220202 Buriti dos Montes;-;7273;7968,,
220205 Cabeceiras do Piauí;-;8493;9913,,
220207 Cajazeiras do Piauí;-;2650;3341,,
220208 Cajueiro da Praia;-;6109;7138,,
220209 Caldeirão Grande do Piauí;-;5468;5664,,
220210 Campinas do Piauí;5875;5137;5397,,
220211 Campo Alegre do Fidalgo;-;4435;4679,,
220213 Campo Grande do Piauí;-;4821;5575,,
220217 Campo Largo do Piauí;-;5729;6789,,
220220 Campo Maior;72080;42992;45006,,
220225 Canavieira;-;3962;3913,,
220230 Canto do Buriti;27157;18250;19935,,
220240 Capitão de Campos;10136;10010;10944,,
220245 Capitão Gervásio Oliveira;-;3401;3869,,
220250 Caracol;11734;8000;10169,,
220253 Caraúbas do Piauí;-;4799;5511,,
220255 Caridade do Piauí;-;4035;4814,,
220260 Castelo do Piauí;28692;18264;18293,,
220265 Caxingó;-;4139;5032,,
220270 Cocal;26959;24039;25952,,
220271 Cocal de Telha;-;4248;4521,,
220272 Cocal dos Alves;-;5137;5557,,
220273 Coivaras;-;3497;3796,,
220275 Colônia do Gurguéia;-;4995;5997,,
220277 Colônia do Piauí;-;7237;7418,,
220280 Conceição do Canindé;7587;4896;4466,,
220285 Coronel José Dias;-;4402;4533,,
220290 Corrente;24728;22975;25263,,
220300 Cristalândia do Piauí;5937;6406;7798,,
220310 Cristino Castro;11015;9145;9931,,
220320 Curimatá;12752;9418;10741,,
220323 Currais;-;4229;4690,,
220327 Curral Novo do Piauí;-;4122;4860,,
220325 Curralinhos;-;3622;4170,,
220330 Demerval Lobão;12212;12477;13234,,
220335 Dirceu Arcoverde;10937;6040;6655,,
220340 Dom Expedito Lopes;5029;5929;6544,,
220345 Dom Inocêncio;8988;8906;9230,,
220342 Domingos Mourão;4270;4263;4250,,
220350 Elesbão Veloso;16627;14936;14496,,
220360 Eliseu Martins;8700;4171;4646,,
220370 Esperantina;35691;34022;37624,,
220375 Fartura do Piauí;-;4669;5057,,
220380 Flores do Piauí;4834;4360;4353,,
220385 Floresta do Piauí;-;2416;2474,,
220390 Floriano;51159;54320;57249,,
220400 Francinópolis;5309;5254;5231,,
220410 Francisco Ayres;5022;5184;4472,,
220415 Francisco Macedo;-;2337;2852,,
220420 Francisco Santos;6999;7001;8557,,
220430 Fronteiras;14767;9930;11087,,
220435 Geminiano;-;4772;5446,,
220440 Gilbués;9937;10168;10362,,
220450 Guadalupe;9558;10243;10198,,
220455 Guaribas;-;4785;4400,,
220460 Hugo Napoleão;3629;3692;3770,,
220465 Ilha Grande;-;7871;8905,,
220470 Inhuma;13103;14378;14811,,
220480 Ipiranga do Piauí;7516;8418;9309,,
220490 Isaías Coelho;7614;7626;8210,,
220500 Itainópolis;13490;10365;11095,,
220510 Itaueira;10993;10318;10628,,
220515 Jacobina do Piauí;-;5589;5704,,
220520 Jaicós;28656;15781;17984,,
220525 Jardim do Mulato;-;3989;4306,,
220527 Jatobá do Piauí;-;4304;4644,,
220530 Jerumenha;8115;4498;4373,,
220535 João Costa;-;3010;2949,,
220540 Joaquim Pires;14599;13002;13790,,
220545 Joca Marques;-;4338;5086,,
220550 José de Freitas;29405;32763;36984,,
220551 Juazeiro do Piauí;-;4509;4723,,
220552 Júlio Borges;-;4797;5339,,
220553 Jurema;-;4010;4506,,
220555 Lagoa Alegre;-;6832;7998,,
220557 Lagoa de São Francisco;-;5782;6407,,
220556 Lagoa do Barro do Piauí;-;4435;4519,,
220558 Lagoa do Piauí;-;3483;3852,,
220559 Lagoa do Sítio;-;4083;4845,,
220554 Lagoinha do Piauí;-;2216;2646,,
220560 Landri Sales;5664;5620;5271,,
220570 Luís Correia;28680;24009;28307,,
220580 Luzilândia;35914;23999;24623,,
220585 Madeiro;-;6768;7810,,
220590 Manoel Emídio;6774;5135;5200,,
220595 Marcolândia;-;6121;7780,,
220600 Marcos Parente;4412;4273;4424,,
220605 Massapê do Piauí;-;5978;6211,,
220610 Matias Olímpio;11920;9700;10455,,
220620 Miguel Alves;27604;29714;32228,,
220630 Miguel Leão;1230;1367;1232,,
220635 Milton Brandão;-;6844;6764,,
220640 Monsenhor Gil;10986;10255;10324,,
220650 Monsenhor Hipólito;6254;6737;7352,,
220660 Monte Alegre do Piauí;9398;10108;10319,,
220665 Morro Cabeça no Tempo;-;4391;4029,,
220667 Morro do Chapéu do Piauí;-;5994;6492,,
220669 Murici dos Portelas;-;6375;8444,,
220670 Nazaré do Piauí;7811;7775;7304,,
220672 Nazária;-;-;8048,,
220675 Nossa Senhora de Nazaré;-;3860;4549,,
220680 Nossa Senhora dos Remédios;6056;7198;8199,,
220795 Nova Santa Rita;-;4146;4180,,
220690 Novo Oriente do Piauí;7187;6754;6490,,
220695 Novo Santo Antônio;-;3134;3250,,
220700 Oeiras;51763;33830;35437,,
220710 Olho D'Água do Piauí;-;2282;2626,,
220720 Padre Marcos;18695;7148;6624,,
220730 Paes Landim;5425;4157;4057,,
220735 Pajeú do Piauí;-;2888;3353,,
220740 Palmeira do Piauí;4416;5163;4993,,
220750 Palmeirais;11565;12140;13716,,
220755 Paquetá;-;4309;4145,,
220760 Parnaguá;12605;9142;10242,,
220770 Parnaíba;127550;131477;144687,,
220775 Passagem Franca do Piauí;-;4189;4527,,
220777 Patos do Piauí;-;5625;6080,,
220779 Pau D'Arco do Piauí;-;-;3754,,
220780 Paulistana;38844;16480;19673,,
220785 Pavussu;-;3961;3654,,
220790 Pedro II;43758;36130;37400,,
220793 Pedro Laurentino;-;1983;2407,,
220800 Picos;78001;68724;72876,,
220810 Pimenteiras;10498;11181;11691,,
220820 Pio IX;15762;16449;17623,,
220830 Piracuruca;31091;24750;27498,,
220840 Piripiri;62988;60056;61651,,
220850 Porto;14313;10550;11858,,
220855 Porto Alegre do Piauí;-;2364;2541,,
220860 Prata do Piauí;2700;3117;3068,,
220865 Queimada Nova;-;8321;8544,,
220870 Redenção do Gurguéia;6837;7757;8374,,
220880 Regeneração;20468;17412;17522,,
220885 Riacho Frio;-;4285;4235,,
220887 Ribeira do Piauí;-;3870;4244,,
220890 Ribeiro Gonçalves;11863;5705;6795,,
220900 Rio Grande do Piauí;9731;6098;6262,,
220910 Santa Cruz do Piauí;9680;5762;6000,,
220915 Santa Cruz dos Milagres;-;3334;3775,,
220920 Santa Filomena;5596;5961;6087,,
220930 Santa Luz;4450;4750;5504,,
220937 Santa Rosa do Piauí;-;5202;5142,,
220935 Santana do Piauí;-;4544;4914,,
220940 Santo Antônio de Lisboa;5068;5141;5981,,
220945 Santo Antônio dos Milagres;-;1852;2055,,
220950 Santo Inácio do Piauí;5591;3432;3647,,
220955 São Braz do Piauí;-;4192;4305,,
220960 São Félix do Piauí;5537;3376;3063,,
220965 São Francisco de Assis do Piauí;-;3774;5541,,
220970 São Francisco do Piauí;6656;6346;6282,,
220975 São Gonçalo do Gurguéia;-;2310;2814,,
220980 São Gonçalo do Piauí;5194;4224;4745,,
220985 São João da Canabrava;6834;4209;4439,,
220987 São João da Fronteira;-;4866;5602,,
220990 São João da Serra;7277;6671;6143,,
220995 São João da Varjota;-;4369;4636,,
220997 São João do Arraial;-;5725;7320,,
221000 São João do Piauí;38073;17596;19452,,
221005 São José do Divino;-;4867;5135,,
221010 São José do Peixe;5858;3810;3693,,
221020 São José do Piauí;6508;6706;6588,,
221030 São Julião;9695;5685;5658,,
221035 São Lourenço do Piauí;-;4274;4423,,
221037 São Luis do Piauí;-;2446;2556,,
221038 São Miguel da Baixa Grande;-;2030;2106,,
221039 São Miguel do Fidalgo;-;2979;2972,,
221040 São Miguel do Tapuio;24731;18771;18119,,
221050 São Pedro do Piauí;11507;12484;13611,,
221060 São Raimundo Nonato;44112;26752;32172,,
221062 Sebastião Barros;-;4472;3539,,
221063 Sebastião Leal;-;3805;4095,,
221065 Sigefredo Pacheco;-;9017;9601,,
221070 Simões;22085;13592;14108,,
221080 Simplício Mendes;13349;10889;12026,,
221090 Socorro do Piauí;5237;4632;4518,,
221093 Sussuapara;-;5028;6229,,
221095 Tamboril do Piauí;-;2410;2748,,
221097 Tanque do Piauí;-;2311;2591,,
221100 Teresina;596933;713228;805951,,
221110 União;41184;39761;42610,,
221120 Uruçuí;15900;16730;20089,,
221130 Valença do Piauí;20547;19841;20295,,
221135 Várzea Branca;-;5170;4902,,
221140 Várzea Grande;8064;4468;4332,,
221150 Vera Mendes;-;2903;2979,,
221160 Vila Nova do Piauí;-;2882;3070,,
221170 Wall Ferraz;-;3986;4271,,
230010 Abaiara;7872;8372;10465,,
230015 Acarape;10185;12927;15324,,
230020 Acaraú;45347;48215;57328,,
230030 Acopiara;49121;47033;51002,,
230040 Aiuaba;13206;14419;16169,,
230050 Alcântaras;8595;9528;10744,,
230060 Altaneira;4799;5679;6842,,
230070 Alto Santo;13565;15314;16288,,
230075 Amontada;25101;32150;39117,,
230080 Antonina do Norte;5061;6476;6970,,
230090 Apuiarés;9514;12519;13911,,
230100 Aquiraz;45877;58845;71169,,
230110 Aracati;60137;60508;68837,,
230120 Aracoiaba;22449;23776;25320,,
230125 Ararendá;-;9976;10460,,
230130 Araripe;17402;18796;20619,,
230140 Aratuba;10548;11856;11462,,
230150 Arneiroz;7384;7464;7617,,
230160 Assaré;19503;20760;22376,,
230170 Aurora;24387;25156;24508,,
230180 Baixio;5406;5706;5999,,
230185 Banabuiú;14331;16055;17285,,
230190 Barbalha;38232;46878;55134,,
230195 Barreira;14711;16929;19529,,
230200 Barro;19303;19951;21450,,
230205 Barroquinha;12900;13875;14402,,
230210 Baturité;27049;29749;33198,,
230220 Beberibe;36367;42138;49164,,
230230 Bela Cruz;25910;28318;30756,,
230240 Boa Viagem;47879;50190;52339,,
230250 Brejo Santo;33669;38385;44979,,
230260 Camocim;50800;55114;59879,,
230270 Campos Sales;23225;25501;26406,,
230280 Canindé;61499;69256;74214,,
230290 Capistrano;15501;15774;17030,,
230300 Caridade;12416;15543;19964,,
230310 Cariré;17730;18488;18313,,
230320 Caririaçu;21295;25673;26363,,
230330 Cariús;17567;18434;18531,,
230340 Carnaubal;13605;15218;16714,,
230350 Cascavel;46360;56798;65933,,
230360 Catarina;11879;15501;18671,,
230365 Catunda;-;9269;9935,,
230370 Caucaia;164814;248301;324108,,
230380 Cedro;22922;24019;24476,,
230390 Chaval;10549;12046;12560,,
230393 Choró;-;11982;12788,,
230395 Chorozinho;15421;18686;18836,,
230400 Coreaú;17555;19932;21905,,
230410 Crateús;66508;70695;72510,,
230420 Crato;89665;104224;120592,,
230423 Croatá;14873;16039;17040,,
230425 Cruz;19821;19701;22385,,
230426 Deputado Irapuan Pinheiro;8428;8354;9065,,
230427 Ererê;6420;6234;6822,,
230428 Eusébio;20329;31427;45728,,
230430 Farias Brito;17622;20251;18984,,
230435 Forquilha;15209;17437;21736,,
230440 Fortaleza;1758538;2131931;2427498,,
230445 Fortim;-;11917;14743,,
230450 Frecheirinha;9685;11702;12956,,
230460 General Sampaio;5488;4866;6120,,
230465 Graça;14358;14804;15010,,
230470 Granja;41409;48275;52417,,
230480 Granjeiro;4743;5277;4619,,
230490 Groaíras;8068;8716;10195,,
230495 Guaiúba;17562;19874;24056,,
230500 Guaraciaba do Norte;30243;34962;37725,,
230510 Guaramiranga;5286;5672;4106,,
230520 Hidrolândia;17896;17667;19284,,
230523 Horizonte;18265;33737;55043,,
230526 Ibaretama;11230;12541;12879,,
230530 Ibiapina;19982;22108;23760,,
230533 Ibicuitinga;8584;9376;11285,,
230535 Icapuí;13347;15916;18273,,
230540 Icó;60271;62228;65291,,
230550 Iguatu;74772;85288;96176,,
230560 Independência;24025;25158;25484,,
230565 Ipaporanga;10849;11234;11325,,
230570 Ipaumirim;11184;11518;11973,,
230580 Ipu;35626;38902;40180,,
230590 Ipueiras;35078;38174;37773,,
230600 Iracema;13944;13086;13692,,
230610 Irauçuba;17155;19465;22237,,
230620 Itaiçaba;5659;6538;7260,,
230625 Itaitinga;-;29019;34485,,
230630 Itapajé;33540;40972;48195,,
230640 Itapipoca;76942;94012;115641,,
230650 Itapiúna;12838;16208;18567,,
230655 Itarema;25483;30247;37172,,
230660 Itatira;13838;15519;18867,,
230670 Jaguaretama;17533;17977;17792,,
230680 Jaguaribara;7699;8713;10219,,
230690 Jaguaribe;32274;34801;34311,,
230700 Jaguaruana;25864;29647;32140,,
230710 Jardim;23888;26314;26608,,
230720 Jati;6834;7245;7627,,
230725 Jijoca de Jericoacoara;-;11973;16616,,
230730 Juazeiro do Norte;172652;211065;248239,,
230740 Jucás;21079;22584;23748,,
230750 Lavras da Mangabeira;30645;31141;30993,,
230760 Limoeiro do Norte;41226;49295;56066,,
230763 Madalena;12629;14795;17989,,
230765 Maracanaú;156887;179168;208660,,
230770 Maranguape;71388;87758;113114,,
230780 Marco;20624;20218;24463,,
230790 Martinópole;6440;8590;10184,,
230800 Massapê;23655;29527;35092,,
230810 Mauriti;37100;42256;44122,,
230820 Meruoca;10432;11274;13597,,
230830 Milagres;24121;26883;28232,,
230835 Milhã;12008;12997;13043,,
230837 Miraíma;10038;11413;12788,,
230840 Missão Velha;29152;32185;34122,,
230850 Mombaça;40808;41074;42520,,
230860 Monsenhor Tabosa;15499;16320;16682,,
230870 Morada Nova;58572;64084;61891,,
230880 Moraújo;6269;7029;8057,,
230890 Morrinhos;14500;17911;20671,,
230900 Mucambo;11940;13690;14081,,
230910 Mulungu;7833;8818;11449,,
230920 Nova Olinda;11269;11993;14225,,
230930 Nova Russas;37779;29294;30851,,
230940 Novo Oriente;26307;26069;27394,,
230945 Ocara;19805;21043;23914,,
230950 Orós;21977;21994;21328,,
230960 Pacajus;31719;43781;61716,,
230970 Pacatuba;59894;51579;72120,,
230980 Pacoti;10058;10884;11572,,
230990 Pacujá;4989;5628;5965,,
231000 Palhano;7893;8134;8855,,
231010 Palmácia;10224;9841;11970,,
231020 Paracuru;20831;27359;31434,,
231025 Paraipaba;19725;25195;29892,,
231030 Parambu;29970;32187;31238,,
231040 Paramoti;10440;10934;11270,,
231050 Pedra Branca;38718;40588;41820,,
231060 Penaforte;6423;7012;8193,,
231070 Pentecoste;32228;32423;35305,,
231080 Pereiro;14779;15211;15730,,
231085 Pindoretama;12428;14793;18595,,
231090 Piquet Carneiro;13097;13108;15416,,
231095 Pires Ferreira;9465;8612;10206,,
231100 Poranga;11051;11716;11979,,
231110 Porteiras;15023;15594;15045,,
231120 Potengi;8143;9059;10247,,
231123 Potiretama;5766;5736;6099,,
231126 Quiterianópolis;17299;18345;19912,,
231130 Quixadá;72050;69337;80148,,
231135 Quixelô;15655;15576;14969,,
231140 Quixeramobim;58904;58914;71510,,
231150 Quixeré;13787;16762;19363,,
231160 Redenção;22668;24925;26324,,
231170 Reriutaba;17281;21154;19395,,
231180 Russas;46417;57054;69642,,
231190 Saboeiro;15444;16162;15726,,
231195 Salitre;12610;13725;15426,,
231220 Santa Quitéria;49241;42160;42636,,
231200 Santana do Acaraú;22405;26081;29848,,
231210 Santana do Cariri;15337;16577;17127,,
231230 São Benedito;36602;39750;44047,,
231240 São Gonçalo do Amarante;29182;35239;43761,,
231250 São João do Jaguaribe;7988;8624;7881,,
231260 São Luís do Curu;10451;11486;12298,,
231270 Senador Pompeu;26521;27124;26408,,
231280 Senador Sá;5158;5572;6839,,
231290 Sobral;126756;154583;186453,,
231300 Solonópole;15786;16835;17558,,
231310 Tabuleiro do Norte;24879;27033;29091,,
231320 Tamboril;26180;25923;25414,,
231325 Tarrafas;10058;9181;8889,,
231330 Tauá;51259;51817;55537,,
231335 Tejuçuoca;11779;13504;16782,,
231340 Tianguá;43806;57940;68567,,
231350 Trairi;36274;44413;51249,,
231355 Tururu;9849;11472;14396,,
231360 Ubajara;23268;26966;31655,,
231370 Umari;7768;7427;7521,,
231375 Umirim;15291;17310;18744,,
231380 Uruburetama;13503;16379;19684,,
231390 Uruoca;10197;11467;12854,,
231395 Varjota;13418;16554;17554,,
231400 Várzea Alegre;31064;34780;38342,,
231410 Viçosa do Ceará;40809;45334;54833,,
240010 Acari;10930;11120;10983,,
240020 Açu;43335;47778;53046,,
240030 Afonso Bezerra;10707;10776;10803,,
240040 Água Nova;2309;2675;2968,,
240050 Alexandria;14539;13754;13429,,
240060 Almino Afonso;5688;5174;4857,,
240070 Alto do Rodrigues;8196;9430;12247,,
240080 Angicos;14437;11500;11484,,
240090 Antônio Martins;7559;6741;6881,,
240100 Apodi;31083;34017;34665,,
240110 Areia Branca;21068;22403;25226,,
240120 Arês;11083;11272;12864,,
240130 Augusto Severo;12430;8991;9268,,
240140 Baía Formosa;7199;7769;8528,,
240145 Baraúna;15466;18793;24092,,
240150 Barcelona;3636;3934;3933,,
240160 Bento Fernandes;4463;4239;5064,,
240165 Bodó;-;2775;2424,,
240170 Bom Jesus;7196;8567;9396,,
240180 Brejinho;8032;10297;11543,,
240185 Caiçara do Norte;-;5742;5991,,
240190 Caiçara do Rio do Vento;2616;2867;3300,,
240200 Caicó;50124;56635;62121,,
240210 Campo Redondo;9345;9197;10262,,
240220 Canguaretama;22869;26696;30776,,
240230 Caraúbas;20177;18750;19505,,
240240 Carnaúba dos Dantas;5581;6535;7394,,
240250 Carnaubais;10374;8114;9744,,
240260 Ceará-Mirim;51883;61202;67724,,
240270 Cerro Corá;10520;10831;10908,,
240280 Coronel Ezequiel;5904;5330;5399,,
240290 Coronel João Pessoa;4725;4683;4757,,
240300 Cruzeta;7861;8111;7929,,
240310 Currais Novos;40037;40695;42389,,
240320 Doutor Severiano;6441;6547;6467,,
240330 Encanto;4706;4794;5224,,
240340 Equador;5473;5647;5814,,
240350 Espírito Santo;10106;10647;10435,,
240360 Extremoz;14879;19269;24491,,
240370 Felipe Guerra;5935;5490;5701,,
240375 Fernando Pedroza;-;2628;2842,,
240380 Florânia;12414;8960;8952,,
240390 Francisco Dantas;3267;2977;2867,,
240400 Frutuoso Gomes;4635;4532;4202,,
240410 Galinhos;1258;1739;2087,,
240420 Goianinha;17472;17620;22432,,
240430 Governador Dix-Sept Rosado;10383;11682;12350,,
240440 Grossos;9280;8165;9331,,
240450 Guamaré;6049;8091;12391,,
240460 Ielmo Marinho;9103;10195;12159,,
240470 Ipanguaçu;15940;11906;13800,,
240480 Ipueira;1701;1895;2069,,
240485 Itajá;-;6137;6912,,
240490 Itaú;4871;5256;5552,,
240500 Jaçanã;6829;7667;7915,,
240510 Jandaíra;5436;6117;6757,,
